"";"Универсальный передаточный
документ";"";"";"";"";"";"Счет-фактура №";"";"";"";"";"";"560494";"";"";"";"";"";"";"от";"";"";"";"28 марта 2022 г.";"";"";"";"";"";"";"";"(1)";"";"";"Приложение № 1 к постановлению Правительства Российской Федерации от 26 декабря 2011 г. № 1137
(в редакции постановления Правительства Российской Федерации от 2 апреля 2021 г. № 534)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2362"
"";"";"";"";"";"";"";"Исправление №";"";"";"";"";"";"--";"";"";"";"";"";"";"от";"";"";"";"--";"";"";"";"";"";"";"";"(1а)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"B08981812200;023047032<4105<02325403240=02328103205<41640=05<<050=441602394403205<<054164<1023704032164416023155902:0103240=4<1023<0594403200;0234<10;003245202380303200;461494@";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Продавец:";"";"";"";"";"";"";"";"";"";"АО ""АВТО-ЕВРО"", в банке АО ""АЛЬФА-БАНК"", БИК 044525593, к/с 30101810200000000593, р/с 40702810502800000855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2)";"";"Покупатель:";"";"";"";"";"";"ООО ""ПАРТСРУ""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6)";"";"";"";""
"";"    Статус:";"";"1";"";"";"Адрес:";"";"";"";"";"";"";"";"";"";"129090, Москва г, Олимпийский пр-кт, дом № 16, строение 5, комната 7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2а)";"";"Адрес:";"";"";"";"";"";"125599, Москва г, Ижорская ул, дом № 5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6а)";"";"";"";""
"";"";"";"";"";"";"ИНН/КПП продавца:";"";"";"";"";"";"";"";"";"";"7712035729/770201001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2б)";"";"ИНН/КПП покупателя:";"";"";"";"";"";"7713747944/774301001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6б)";"";"";"";""
"";"1 – счет-фактура и передаточный документ (акт)
2 – передаточный документ (акт)";"";"";"";"";"Грузоотправитель и его адрес:";"";"";"";"";"";"";"";"";"";"он же";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(3)";"";"Валюта: наименование, код";"";"";"";"";"";"Российский рубль, 643";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(7)";"";"";"";""
"";"";"";"";"";"";"Грузополучатель и его адрес:";"";"";"";"";"";"";"";"";"";"ООО ""ПАРТСРУ"",Москва г., 1-й Дорожный проезд, д.5, бокс № 18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(4)";"";"Идентификатор государственного контракта, договора (соглашения) (при наличии):";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(8)";"";"";"";"0018466481"
"";"";"";"";"";"";"К платежно-расчетному документу №";"";"";"";"";"";"";"";"";"";"   от   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Р: 1348"
