"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Универсальный передаточный
документ";"";"";"";"";"";"";"Счет-фактура №";"";"";"";"10113";"";"";"";"";"";"от";"28 марта 2022 г.";"";"";"";"";"";"";"";"";"";"";"";"(1)";"";"Приложение № 1 к постановлению Правительства Российской Федерации от 26 декабря 2011 г. № 1137
(в редакции постановления Правительства Российской Федерации от 2 апреля 2021 №534)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"Исправление №";"";"";"";"--";"";"";"";"";"";"от";"--";"";"";"";"";"";"";"";"";"";"";"";"(1а)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"Продавец:";"";"";"";"";"";"";"Общество с ограниченной ответственностью ""НОВА""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2)";""
"";"    Статус:";"1";"";"";"";"";"";"Адрес:";"";"";"";"";"";"";"Россия, 127495, Москва г, вн.тер.г. муниципальный округ Северный, ш Дмитровское, д. 163А, к. 2, офис 06.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2а)";""
"";"";"";"";"";"";"";"";"ИНН/КПП продавца:";"";"";"";"";"";"";"9715384898/771501001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2б)";""
"";"1 – счет-фактура и передаточный документ (акт)
2 – передаточный документ (акт)";"";"";"";"";"";"";"Грузоотправитель и его адрес:";"";"";"";"";"";"";"ООО ""НОВА"",109382, Москва,ул. Крылатские холмы, д.7, к.2.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(3)";""
"";"";"";"";"";"";"";"";"Грузополучатель и его адрес:";"";"";"";"";"";"";"Общество с ограниченной ответственностью ""ПартсРу"", 125599, г. Москва, ул. Ижорская, д. 5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(4)";""
"";"";"";"";"";"";"";"";"К платежно-расчетному документу №";"";"";"";"";"";"";"   от";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(5)";""
"";"";"";"";"";"";"";"";"Документ об отгрузке:";"";"";"";"";"";"";"№п/п 1-5 №10113 от 28.03.2022г.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(5а)";""
